BreedName,AvgPupPrice
Affenpinscher,1000.0
Afghan Hound,2250.0
Airedale Terrier,700.0
Akita,1000.0
Alaskan Malamute,1350.0
American Bulldog,800.0
American Eskimo Dog,700.0
American Staffordshire Terrier,900.0
American Water Spaniel,900.0
Australian Kelpie,600.0
Australian Shepherd,700.0
Australian Terrier,1250.0
Basenji,1100.0
Basset Hound,400.0
Beagle,650.0
Bearded Collie,1300.0
Beauceron,1350.0
Bedlington Terrier,1900.0
Bernese Mountain Dog,900.0
Bichon Frise,850.0
Black and Tan Coonhound,350.0
Bloodhound,1000.0
Bluetick Coonhound,550.0
Boerboel,1750.0
Border Collie,700.0
Border Terrier,1300.0
Boston Terrier,750.0
Boxer,900.0
Boykin Spaniel,900.0
Briard,1100.0
Bull Terrier,1350.0
Bullmastiff,1350.0
Cairn Terrier,850.0
Catahoula Leopard Dog,400.0
Cavalier King Charles Spaniel,1350.0
Chesapeake Bay Retriever,800.0
Chinook,900.0
Chow Chow,700.0
Clumber Spaniel,1000.0
Cocker Spaniel,700.0
Coton de Tulear,2700.0
Dalmatian,800.0
Doberman Pinscher,900.0
Dogo Argentino,39000.0
Dutch Shepherd,1100.0
English Setter,500.0
English Shepherd,900.0
English Springer Spaniel,750.0
English Toy Spaniel,1400.0
Field Spaniel,900.0
Finnish Lapphund,700.0
Finnish Spitz,600.0
French Bulldog,3000.0
German Pinscher,1500.0
German Shepherd Dog,1400.0
German Shorthaired Pointer,700.0
Giant Schnauzer,1250.0
Giant Schnauzer,1250.0
Glen of Imaal Terrier,900.0
Golden Retriever,1500.0
Gordon Setter,900.0
Great Dane,1000.0
Great Pyrenees,800.0
Greyhound,650.0
Harrier,350.0
Havanese,1050.0
Irish Setter,900.0
Irish Terrier,700.0
Irish Wolfhound,1900.0
Italian Greyhound,900.0
Japanese Chin,400.0
Keeshond,900.0
Komondor,1000.0
Kuvasz,1350.0
Labrador Retriever,1500.0
Lancashire Heeler,700.0
Leonberger,1750.0
Lhasa Apso,600.0
Maltese,700.0
Miniature Pinscher,500.0
Miniature Schnauzer,800.0
Norfolk Terrier,2250.0
Norwich Terrier,1700.0
Old English Sheepdog,1350.0
Papillon,500.0
Pekingese,700.0
Pharaoh Hound,1900.0
Pomeranian,700.0
Pug,400.0
Puli,1100.0
Pumi,2750.0
Rat Terrier,400.0
Redbone Coonhound,700.0
Rhodesian Ridgeback,1150.0
Rottweiler,1600.0
Saint Bernard,1650.0
Saluki,700.0
Samoyed,1350.0
Schipperke,800.0
Scottish Deerhound,1100.0
Shiba Inu,900.0
Shih Tzu,1000.0
Siberian Husky,950.0
Silky Terrier,700.0
Smooth Fox Terrier,850.0
Staffordshire Bull Terrier,1750.0
Swedish Vallhund,800.0
Thai Ridgeback,700.0
Tibetan Mastiff,3000.0
Tibetan Spaniel,900.0
Tibetan Terrier,1600.0
Toy Fox Terrier,500.0
Treeing Walker Coonhound,500.0
Vizsla,1000.0
Weimaraner,1750.0
Welsh Springer Spaniel,1300.0
Whippet,1000.0
Wire Fox Terrier,900.0
